symbol,datestart,dateend,start,end,opening,closing,highest,lowest,volume,pvolume,svolume,nmatches,BBAND20UP,BBAND20DOWN,EMA20,EMA50,EMA100,MACD,MACDSIGNAL,MACDHISTOG,ROCP5,ROCP10,ROCP20,RSI6,RSI12,RSI24,SMA5,SMA10,SMA20,SMA50,SMA200,ASKS1P,ASKS1S,ASKS2P,ASKS2S,ASKS3P,ASKS3S,ASKS4P,ASKS4S,ASKS5P,ASKS5S,BIDS1P,BIDS1S,BIDS2P,BIDS2S,BIDS3P,BIDS3S,BIDS4P,BIDS4S,BIDS5P,BIDS5S
LTC-BTC,2019-07-20T10:20:16,2019-07-20T10:21:16,1563618016,1563618076,0,0.009338,0.009338,0,201.063319,89.561281,111.502038,51,0.009421910507863774,0.009365989492136233,0.009390441086632137,0.009386538653772626,0.009379000447759757,-1.2145927890706842e-07,3.4489888286186018e-06,-3.57044810752567e-06,-0.6807062327164414,-0.5431888380019061,-0.6278599553048847,11.529094253163521,22.875577483447316,34.376251970718585,0.009391199999999994,0.009393100000000005,0.009393950000000003,0.009384860000000004,0.00936322,0.009347,1,0.009348,6.67161,0.009349,2.963118,0.009351,2.6,0.009352,14.152183,0.00933,3.28,0.009329,3.081407,0.009328,2.6,0.009326,1.071283,0.009324,20.850106
LTC-BTC,2019-07-20T10:21:16,2019-07-20T10:22:16,1563618076,1563618136,0.009338,0.009343,0.009343,0.009338,178.408113,89.503988,88.904125,49,0.009426886357838593,0.009355613642161415,0.009385922887905266,0.009384831255585464,0.009378287567606097,-3.842839005143567e-06,1.9906232618661683e-06,-5.8334622670097355e-06,-0.6592238171185493,-0.5428997232275811,-0.5852309001915248,17.693576919968606,26.68484346799586,36.40427763928669,0.009379399999999994,0.009388500000000006,0.009391250000000004,0.009383580000000004,0.009363230000000002,0.009349,2.963118,0.009357,0.021403,0.009361,2.6,0.009363,8.490724,0.009364,2.408478,0.009337,5.7811,0.009335,27.165675,0.009331,8.573583,0.009329,0.780334,0.009328,8.576562
LTC-BTC,2019-07-20T10:22:16,2019-07-20T10:23:16,1563618136,1563618196,0.009343,0.009345,0.009345,0.009342,187.348117,91.17318,96.174937,48,0.009429349969325146,0.009347850030674862,0.009382025470009527,0.009383269245562506,0.009377628407851519,-6.555112705128319e-06,2.81476068467271e-07,-6.836588773595589e-06,-0.6485222198596672,-0.5110188438198783,-0.563949776548212,20.357266175390038,28.231632183694728,37.214151866900586,0.009367399999999994,0.009383600000000008,0.009388600000000004,0.009382180000000004,0.009363185000000001,0.009349,2.963118,0.009358,0.021402,0.009361,3.28,0.009365,11.07146,0.009366,2.407576,0.009342,3.1811,0.009341,24.023,0.009339,2.6,0.009335,11.873384,0.009334,0.758931
LTC-BTC,2019-07-20T10:23:16,2019-07-20T10:24:16,1563618196,1563618256,0.009345,0.009344,0.009344,0.009341,152.928883,63.748869,89.180014,44,0.009430750418058256,0.009341049581941752,0.009378403996675286,0.00938172927514829,0.009376962498785151,-8.685183407906513e-06,-1.5118558268074858e-06,-7.173327581099027e-06,-0.6485911749069675,-0.595744680851069,-0.5745903383698683,19.969501446119068,27.910441821171048,36.96852537160946,0.009354999999999995,0.009378700000000007,0.009385900000000004,0.009380740000000004,0.009363115,0.009349,2.950521,0.009357,0.021404,0.009361,3.28,0.009363,11.080653,0.009364,2.408478,0.00934,3.1811,0.009336,22.876609,0.009335,24.023,0.009332,11.526827,0.009329,8.597048
LTC-BTC,2019-07-20T10:24:16,2019-07-20T10:25:16,1563618256,1563618316,0.009344,0.009344,0.009344,0.009343,214.752071,90.815985,123.936086,53,0.009431202499934904,0.009335197500065106,0.009375127425563354,0.00938024969573071,0.00937630977603693,-1.0255065771531263e-05,-3.2604978157522412e-06,-6.994567955779022e-06,0.06425358749195825,-0.5851686349611607,-0.6063184767577892,19.969501446119068,27.910441821171048,36.96852537160946,0.009342799999999995,0.009373100000000007,0.009383200000000005,0.009379600000000005,0.009363035,0.009349,2.950521,0.009356,3.28,0.009357,0.021404,0.009362,2.6,0.009363,24.023,0.00934,3.1811,0.009339,2.6,0.009336,20.405956,0.009335,27.147565,0.009332,9.331597
LTC-BTC,2019-07-20T10:25:16,2019-07-20T10:26:16,1563618316,1563618376,0.009344,0.00934,0.009344,0.00934,189.31253,51.868092,137.444438,46,0.009430913274126089,0.009329386725873919,0.009371781956462082,0.00937867127629029,0.009375590770570852,-1.1687252059026237e-05,-4.9458486644070405e-06,-6.741403394619197e-06,-0.03210960077064397,-0.6594341629440681,-0.6171525856565307,17.99514041100599,26.476522944921754,35.935484757034644,0.009343199999999996,0.009367200000000008,0.009380150000000004,0.009378460000000005,0.009362915000000001,0.009348,3.28,0.009349,2.950521,0.009353,0.021413,0.009355,8.499062,0.009356,3.959999,0.009331,13.625033,0.00933,2.808886,0.009329,23.035137,0.009328,24.023,0.009326,1.830214
LTC-BTC,2019-07-20T10:26:16,2019-07-20T10:27:16,1563618376,1563618436,0.00934,0.009337,0.009337,0.009329,176.49372,78.173073,98.320647,47,0.00943047002904253,0.009323729970957479,0.009368469389179979,0.009377037108592631,0.009374826596896181,-1.2915463514368009e-05,-6.5397716343992344e-06,-6.375691879968774e-06,-0.08560727661850538,-0.7230196703880951,-0.596188651123182,16.524737270343678,25.408485512141837,35.16642834103298,0.009341999999999994,0.009360700000000008,0.009377100000000005,0.009377760000000006,0.00936279,0.009344,3.28,0.009345,0.025235,0.00935,0.021419,0.009352,2.6,0.009355,24.023,0.009329,13.678034,0.009328,26.336351,0.009327,24.023,0.009326,4.062856,0.009323,9.340316
LTC-BTC,2019-07-20T10:27:16,2019-07-20T10:28:16,1563618436,1563618496,0.009337,0.009348,0.009348,0.009336,166.306634,77.018842,89.287792,38,0.009429135449247478,0.00932056455075253,0.009366519923543792,0.009375898398451744,0.009374295377155664,-1.2853059799729574e-05,-7.802429267465303e-06,-5.0506305322642715e-06,0.04280821917808788,-0.6166276844567194,-0.44728434504792725,38.599863480061,35.77205866277954,40.073354222914304,0.009342599999999996,0.009355000000000007,0.009374850000000004,0.009377420000000004,0.00936273,0.009355,3.28,0.009359,0.025235,0.009361,0.021396,0.009366,2.6,0.009368,24.023,0.009342,3.2193,0.009341,2.6,0.00934,27.301935,0.009339,1.06979,0.009333,0.021396
LTC-BTC,2019-07-20T10:28:16,2019-07-20T10:29:16,1563618496,1563618556,0.009348,0.009361,0.009361,0.009348,204.606708,87.849733,116.756975,53,0.009427538341311869,0.00931926165868814,0.00936599421653962,0.009375314147532067,0.009374032102360501,-1.1620657347524016e-05,-8.566074883477046e-06,-3.05458246404697e-06,0.18193493150684562,-0.46783625730994827,-0.2557272242940833,55.3466465193147,45.52920910509211,45.189117264184,0.009345999999999997,0.009350500000000008,0.009373400000000004,0.009377180000000006,0.009362704999999999,0.00937,5.655667,0.009371,3.28,0.009372,0.059287,0.009373,0.021368,0.009374,12.327762,0.009352,3.2193,0.009351,26.81214,0.00935,2.6,0.009349,1.068645,0.009345,0.780299
LTC-BTC,2019-07-20T10:29:16,2019-07-20T10:30:16,1563618556,1563618616,0.009361,0.009363,0.009363,0.009358,157.908775,69.196423,88.712352,40,0.009426344796234238,0.009318255203765769,0.009365709053059657,0.009374831239785712,0.009373813644888014,-1.0363126567616843e-05,-8.925485220305006e-06,-1.4376413473118366e-06,0.24625267665953376,0.26772328121652367,-0.2875399361022469,57.48731062092908,46.883474746755795,45.93011342464562,0.009349799999999995,0.009346300000000007,0.009372300000000004,0.009376980000000005,0.00936269,0.009371,5.653031,0.009372,3.364522,0.009374,0.001234,0.009376,14.927762,0.009377,8.481871,0.009356,24.023,0.009353,2.885676,0.009351,2.6,0.009349,1.090003,0.009348,0.758931
LTC-BTC,2019-07-20T10:30:16,2019-07-20T10:31:16,1563618616,1563618676,0.009363,0.009365,0.009365,0.009363,259.416594,53.820702,205.595892,70,0.00942455317747574,0.009317546822524269,0.009365641524196833,0.009374445700970587,0.009373639117266469,-9.100239186576528e-06,-8.960436013559312e-06,-1.3980317301721625e-07,0.2998821891399834,0.23547040565128383,-0.2556182767067815,59.79992164539793,48.28608232128427,46.682263102955304,0.009354799999999995,0.009349000000000007,0.009371050000000004,0.009376900000000004,0.009362724999999999,0.009372,0.059287,0.009373,0.025235,0.009374,0.001234,0.009375,8.930763,0.009376,0.021358,0.009358,3.2193,0.009356,26.623,0.009354,5.478047,0.00935,0.758931,0.009349,0.021358
LTC-BTC,2019-07-20T10:31:16,2019-07-20T10:32:16,1563618676,1563618736,0.009365,0.009372,0.009372,0.009363,219.583938,128.069223,91.514715,58,0.009423071920714123,0.009317328079285885,0.009366247093320944,0.009374349791128604,0.009373606659498816,-7.448686518394393e-06,-8.658086114526328e-06,1.2093995961319352e-06,0.2567394094993551,0.28892455858749044,-0.23419203747072015,67.27636212908655,53.02253007861811,49.26006857660711,0.009361799999999995,0.009351900000000007,0.009370200000000004,0.009376980000000005,0.0093628,0.009372,0.35329,0.009374,0.001234,0.009375,5.675547,0.009377,3.28,0.009378,2.6,0.009357,13.94997,0.009356,30.474007,0.009354,2.6,0.00935,0.780287,0.009349,1.409443
LTC-BTC,2019-07-20T10:32:16,2019-07-20T10:33:16,1563618736,1563618796,0.009372,0.009365,0.009365,0.009354,191.52255,113.790419,77.732131,50,0.009420510506179909,0.009316989493820099,0.009366128322528474,0.009373983132652973,0.009373436230597849,-6.628254239693376e-06,-8.252119739559739e-06,1.6238654998663624e-06,0.04273047751309188,0.2247431506849335,-0.298094325561591,55.00133506534317,48.20599302007817,46.894250016711624,0.009365199999999994,0.009353900000000007,0.009368750000000004,0.009376900000000004,0.009362849999999999,0.009374,0.001234,0.009375,0.025235,0.00938,0.021353,0.009382,16.732435,0.009383,5.479006,0.009358,13.93687,0.009357,2.997023,0.009356,24.023,0.009355,2.6,0.009352,0.780284
LTC-BTC,2019-07-20T10:33:16,2019-07-20T10:34:16,1563618796,1563618856,0.009365,0.009361,0.009361,0.00936,206.823497,118.47709,88.346407,48,0.009417779141805884,0.009316520858194122,0.009365639910859095,0.009373473990195993,0.009373189968605812,-6.229018075587858e-06,-7.847499406765363e-06,1.618481331177505e-06,-0.02136067499733275,0.18193493150684562,-0.41489361702128547,48.88515638035086,45.622518249339564,45.58871323022916,0.009365199999999994,0.009355600000000006,0.009367150000000003,0.009376920000000006,0.009362939999999998,0.009368,5.657708,0.009369,3.249491,0.009371,0.025235,0.009374,0.001234,0.009375,13.686563,0.009354,3.1315,0.009352,8.378076,0.00935,1.068531,0.009349,20.779385,0.009348,24.023
