symbol,datestart,dateend,start,end,opening,closing,highest,lowest,volume,pvolume,svolume,amount,pamount,samount,nmatches,BBAND20UP,BBAND20DOWN,EMA20,EMA50,EMA100,MACD,MACDSIGNAL,MACDHISTOG,ROCP5,ROCP10,ROCP20,RSI6,RSI12,RSI24,SMA5,SMA10,SMA20,SMA50,SMA200,ASKS1P,ASKS1S,ASKS2P,ASKS2S,ASKS3P,ASKS3S,ASKS4P,ASKS4S,ASKS5P,ASKS5S,BIDS1P,BIDS1S,BIDS2P,BIDS2S,BIDS3P,BIDS3S,BIDS4P,BIDS4S,BIDS5P,BIDS5S
BCHSV-BTC,2019-08-19T00:44:50,2019-08-19T00:45:31,1566175490,1566175531,0,0.013223,0.013223,0,7.28545419,2.39080013,4.89465406,0.09633532988184,0.03161331924646,0.06472201063538,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.013234,0.13353046,0.013247,11.9824542,0.013249,0.03804701,0.013251,0.37566703,0.013265,2.70500888,0.013212,1.76,0.013208,10,0.013194,3.65594701,0.013189,15.16415193,0.013188,3.79137791
BCHSV-BTC,2019-08-19T00:45:31,2019-08-19T00:45:44,1566175531,1566175544,0.013223,0.013223,0.013223,0.013223,9.13479213,6.05130961,3.08348252,0.12078935633499,0.08001646697303,0.04077288936196,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.013234,0.13353046,0.013247,1.9824542,0.013249,0.03804701,0.013251,0.37566703,0.013265,2.70500888,0.013212,1.76,0.013194,3.65594701,0.013189,15.16415193,0.013188,3.79137791,0.013149,0.00979837
BCHSV-BTC,2019-08-19T00:45:44,2019-08-19T00:45:57,1566175544,1566175557,0.013223,0.013221,0.013223,0.013221,12.39063951,1.87775202,10.51288749,0.16382721234655,0.02482828038896,0.13899893195759,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.013234,0.13353046,0.013247,11.9824542,0.013249,0.03804701,0.013251,0.37566703,0.013265,2.70500888,0.013209,1.76,0.013208,24.95437532,0.013194,3.65594701,0.013188,3.79137791,0.013149,0.00979837
BCHSV-BTC,2019-08-19T00:45:57,2019-08-19T00:46:03,1566175557,1566175563,0.013221,0.013222,0.013222,0.013221,10.54685255,2.33113662,8.21571593,0.13946649311612,0.03082414879506,0.10864234432106,10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.013235,0.13353046,0.013247,1.6077,0.013248,0.3747542,0.013249,0.03804701,0.013251,0.37566703,0.013209,1.76,0.013208,14.95437532,0.013195,3.65566055,0.013189,18.95524324,0.013149,0.00979837
BCHSV-BTC,2019-08-19T00:46:03,2019-08-19T00:46:19,1566175563,1566175579,0.013222,0.013225,0.013225,0.013222,9.81006508,4.40513832,5.40492676,0.129733260691,0.05825310429,0.071480156401,10,-1,-1,-1,-1,-1,-1,-1,-1,0.015125160704834495,-1,-1,0,0,0,0.013222800000000002,0,0,0,0,0.013235,0.13353046,0.013248,0.3747542,0.013249,0.03804701,0.013251,0.37566703,0.013268,1.23749999,0.013215,10,0.013209,1.76,0.013208,14.95437532,0.013195,3.65566055,0.013189,18.95524324
BCHSV-BTC,2019-08-19T00:46:19,2019-08-19T00:46:21,1566175579,1566175581,0.013225,0.013222,0.013235,0.013222,7.71789714,0.18855369,7.52934345,0.10205971740464,0.00249369589535,0.09956602150929,10,-1,-1,-1,-1,-1,-1,-1,-1,-0.007562580352423808,-1,-1,0,0,0,0.013222600000000001,0,0,0,0,0.013235,0.12619595,0.013248,0.3747542,0.013249,0.03804701,0.013251,0.37566703,0.013268,1.23749999,0.013209,1.76,0.013208,14.95437532,0.013195,3.65566055,0.013189,3.79109131,0.013149,0.00979837
BCHSV-BTC,2019-08-19T00:46:21,2019-08-19T00:46:31,1566175581,1566175591,0.013222,0.013222,0.013227,0.013222,7.460342,1.23361069,6.22673131,0.0986701144789,0.01631696859663,0.08235314588227,10,-1,-1,-1,-1,-1,-1,-1,-1,0.007563724377878113,-1,-1,44.444444444440165,0,0,0.0132224,0,0,0,0,0.013246,3.66716784,0.013247,0.25711656,0.013248,0.3747542,0.013249,0.03804701,0.013267,2.70500888,0.013209,11.76,0.013208,14.95437532,0.013189,18.95524324,0.013149,0.00979837,0.013131,15.13947238
BCHSV-BTC,2019-08-19T00:46:31,2019-08-19T00:46:48,1566175591,1566175608,0.013222,0.013222,0.013222,0.013222,13.26316274,6.45657204,6.8065907,0.17536553774828,0.08536879551288,0.0899967422354,10,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,44.444444444440165,0,0,0.013222600000000001,0,0,0,0,0.013236,0.12619595,0.013246,3.66716784,0.013247,1.86481656,0.013248,0.3747542,0.013249,0.03804701,0.013209,11.76,0.013208,14.95437532,0.013196,3.66285185,0.013189,3.79109131,0.013149,0.00979837
BCHSV-BTC,2019-08-19T00:46:48,2019-08-19T00:47:01,1566175608,1566175621,0.013222,0.013222,0.013222,0.013222,9.14129583,4.99057074,4.15072509,0.12086621346426,0.06598532632428,0.05488088713998,10,-1,-1,-1,-1,-1,-1,-1,-1,-0.022684310018913162,-1,-1,44.44444444444016,0,0,0.013222600000000001,0,0,0,0,0.013235,0.0099941,0.013236,0.12619595,0.013246,10,0.013248,0.3747542,0.013249,0.03804701,0.013209,1.76,0.013208,14.95437532,0.013196,3.66285185,0.013189,3.79109131,0.013149,0.00979837
BCHSV-BTC,2019-08-19T00:47:01,2019-08-19T00:47:09,1566175621,1566175629,0.013222,0.013222,0.013222,0.013222,8.68401136,0.52532395,8.15868741,0.11481999820192,0.0069458332669,0.10787416493502,10,-1,-1,-1,-1,-1,-1,-1,-1,0,-0.007562580352423808,-1,44.44444444444016,0,0,0.013222000000000001,0.0132224,0,0,0,0.013235,0.0099941,0.013236,0.12619595,0.013241,1.6077,0.013248,0.3747542,0.013249,0.03804701,0.013209,1.76,0.013208,14.95437532,0.013196,3.66285185,0.013189,18.95524324,0.013149,0.00979837
