symbol,datestart,dateend,start,end,opening,closing,highest,lowest,volume,pvolume,svolume,amount,pamount,samount,nmatches,BBAND20UP,BBAND20DOWN,EMA20,EMA50,EMA100,MACD,MACDSIGNAL,MACDHISTOG,ROCP5,ROCP10,ROCP20,RSI6,RSI12,RSI24,SMA5,SMA10,SMA20,SMA50,SMA200,ASKS1P,ASKS1S,ASKS2P,ASKS2S,ASKS3P,ASKS3S,ASKS4P,ASKS4S,ASKS5P,ASKS5S,BIDS1P,BIDS1S,BIDS2P,BIDS2S,BIDS3P,BIDS3S,BIDS4P,BIDS4S,BIDS5P,BIDS5S
ETH-BTC,2019-07-30T11:41:43,2019-07-30T11:42:44,1564486903,1564486964,0,0.02195,0.02195,0,89.9599866,27.1567897,62.8031969,1.9744724872656,0.5960556777365,1.3784168095291,35,0.021961369131620365,0.021903330868379634,0.021928850979931667,0.021929249160852694,0.021927012687736072,-2.6180690898165715e-06,-1.333694146137934e-06,-1.2843749436786375e-06,0.17342095655348594,0.09576360071138759,0.03190083397894573,65.8403989859319,58.4638674747369,55.29798952900311,0.02191540000000004,0.021926700000000014,0.02193235,0.021930839999999972,0.02192014000000002,0.02195,0.1008465,0.021953,7.2333146,0.021959,8.0159,0.02196,6.2596,0.021968,20.1783581,0.021948,0.0911244,0.021947,0.0535159,0.021944,0.2498747,0.021943,2.8239,0.021936,8.0159
ETH-BTC,2019-07-30T11:42:44,2019-07-30T11:43:44,1564486964,1564487024,0.02195,0.021944,0.021944,0.021942,113.68386782,31.72541862,81.9584492,2.49591785135696,0.69648944615576,1.7994284052012,50,0.02196149570415027,0.021903304295849732,0.0219302937437477,0.02192982762513298,0.021927349070157143,-1.060252944152379e-06,-1.279005905740823e-06,2.1875296158844402e-07,0.16432353478182082,0.1049222207016203,0.04103031684523393,60.90562606010697,55.73617727082537,53.64076481495279,0.02192180000000004,0.021928200000000016,0.0219324,0.02193105999999997,0.02191990500000002,0.02195,0.0059425,0.021951,14.8727472,0.021967,0.0076667,0.021968,21.8973947,0.021969,2,0.021929,1.7746333,0.021928,8.0159,0.021925,0.0048038,0.021924,3.299123,0.021918,1.3188344
ETH-BTC,2019-07-30T11:43:44,2019-07-30T11:44:44,1564487024,1564487084,0.021944,0.021941,0.021941,0.021931,56.72856552,11.7441027,44.98446282,1.24466762121847,0.2576764157421,0.98699120547637,32,0.0219620196180057,0.021903380381994304,0.0219313133872003,0.021930265757480708,0.021927619385599572,-6.697530360519344e-08,-1.036599785313697e-06,9.696244817085036e-07,0.17349221567821688,-0.03189356661199226,0.022793581327489338,58.2845511913936,54.35296352410778,52.81495061299959,0.02192840000000004,0.021930200000000014,0.021932700000000003,0.021931199999999974,0.02191969000000002,0.021945,1.5198453,0.021947,0.0489251,0.021949,0.1174648,0.02195,0.0059425,0.021951,6.2596,0.021936,7.78822055,0.021935,2.8239,0.02193,0.0158938,0.021922,3.1523615,0.021919,2
ETH-BTC,2019-07-30T11:44:44,2019-07-30T11:45:44,1564487084,1564487144,0.021941,0.021941,0.021961,0.021941,99.54711181,38.5530609,60.99405091,2.1847554965565,0.8461476930776,1.3386078034789,42,0.021962462539707725,0.021903437460292274,0.021932235921752655,0.02193068670816774,0.021927884348260963,7.119969253586989e-07,-6.868804431792179e-07,1.3988773685379167e-06,0.1689189189189136,-0.013671162960276158,-0.013671162960276158,58.2845511913936,54.35296352410777,52.81495061299959,0.02193600000000004,0.02192950000000001,0.02193295,0.021931299999999973,0.021919540000000022,0.021959,6.2596,0.02196,6.8627897,0.021961,6.2327648,0.021965,0.0064309,0.021966,0.0076667,0.02194,0.2499202,0.021938,8.0159,0.02193,0.0158938,0.021928,3.0838717,0.021927,0.0040884
ETH-BTC,2019-07-30T11:45:44,2019-07-30T11:46:44,1564487144,1564487204,0.021941,0.021957,0.021957,0.02194,92.3209141,44.0954879,48.2254262,2.02676020491646,0.9680293106698,1.05873089424666,38,0.021964592902413295,0.021902607097586707,0.02193459440539526,0.021931718601965085,0.02192846089582015,2.590542154026765e-06,-3.139592373802146e-08,2.6219380777647863e-06,0.031890660592255406,0.04100601421542766,0.1002963300661098,68.64699890604493,60.564701151829084,56.687248007434356,0.02194660000000004,0.021930800000000014,0.0219336,0.021931719999999974,0.021919500000000022,0.021965,9.2945872,0.021967,0.0076667,0.021973,8.0159,0.021989,0.6812847,0.021992,26.3027829,0.02195,8.0159,0.021946,1,0.021933,2,0.02193,0.0158938,0.021923,32.4706
ETH-BTC,2019-07-30T11:46:44,2019-07-30T11:47:44,1564487204,1564487264,0.021957,0.02195,0.02195,0.021947,43.15082985,8.15386734,34.99696251,0.94745208197374,0.17903390748304,0.7684181744907,24,0.02196615738907864,0.021902542610921363,0.021936061604881426,0.021932435519535082,0.021928887412734605,3.4744104425374345e-06,6.697653495170698e-07,2.8046450930203646e-06,0.027342325920520695,0.17342095655348594,0.07750877672912805,60.72729940550629,56.87102999184026,54.64015454151019,0.02194660000000004,0.021931000000000013,0.021934350000000002,0.021932019999999972,0.021919425000000024,0.021962,6.8627897,0.021965,0.0064309,0.021967,0.0076667,0.021969,8.0159,0.021972,2.9141859,0.021949,1.1055,0.021948,0.11127,0.021946,8.0159,0.021944,0.2498747,0.021936,0.28869
ETH-BTC,2019-07-30T11:47:44,2019-07-30T11:48:44,1564487264,1564487324,0.02195,0.021956,0.021956,0.021941,75.13270026,27.5174994,47.61520086,1.64963115817776,0.6041753013879,1.04545585678986,34,0.02196866323265305,0.021902336767346958,0.021937960499654623,0.02193335961680822,0.02192942429565075,4.6059379000054634e-06,1.4569998596147486e-06,3.1489380403907147e-06,0.06836516111390148,0.21909804637575053,0.091174325309989,64.89323384125194,59.19785344480219,56.05939171844478,0.021949000000000038,0.021935400000000015,0.021935500000000004,0.021932459999999977,0.021919370000000025,0.021959,3.1298,0.021961,0.0921233,0.021962,6.8627897,0.021964,8.0159,0.021965,0.0076667,0.021951,0.042,0.021949,1.1064,0.021944,0.2498747,0.021942,8.0159,0.021941,1.0003
ETH-BTC,2019-07-30T11:48:44,2019-07-30T11:49:44,1564487324,1564487384,0.021956,0.021955,0.021957,0.021955,122.8460632,48.2984499,74.5476133,2.6972153772509,1.0604330347901,1.6367823424608,59,0.021970687260404423,0.021902212739595583,0.021939583309211325,0.02193420825928633,0.021929930745241823,5.360200860698994e-06,2.2376400598315976e-06,3.122560800867396e-06,0.06380748370630383,0.2374104004017713,0.07292948630292471,63.545097821919555,58.62281310590584,55.755997599014314,0.021951800000000035,0.021940100000000014,0.021936450000000003,0.021932879999999978,0.021919075000000024,0.021959,6.2596,0.02196,8.0159,0.021961,0.0921233,0.021962,6.8627897,0.021965,0.0076667,0.021955,0.1586746,0.021951,0.0495574,0.021944,0.2008,0.021943,1.1068,0.021942,2.7399
ETH-BTC,2019-07-30T11:49:44,2019-07-30T11:50:44,1564487384,1564487444,0.021955,0.021957,0.021957,0.021955,112.264541,26.3360507,85.9284903,2.4649852465418,0.5782606695037,1.8867245770381,43,0.02197273516638367,0.02190196483361633,0.02194124204166739,0.021935102053039807,0.02193046677008852,6.0496068742255105e-06,3.0000334227103807e-06,3.04957345151513e-06,0,0.24196493791088824,0.06380166795789145,65.27639015132664,59.48155699034746,56.25013631598007,0.021955000000000034,0.021945500000000014,0.02193735,0.021933399999999978,0.021918960000000022,0.021957,14.2755,0.021959,0.2335691,0.021962,6.8627897,0.021965,0.2067309,0.021967,2.4253666,0.021956,1.2634164,0.021951,0.0495574,0.021948,0.1317,0.021941,1.1068,0.021939,2.7408
ETH-BTC,2019-07-30T11:50:44,2019-07-30T11:51:44,1564487444,1564487504,0.021957,0.021956,0.021957,0.021956,1.03359401,0.098656,0.93493801,0.02269368873956,0.002166189792,0.02052749894756,5,0.02197424362012824,0.021901756379871764,0.021942647561508592,0.02193592158037158,0.02193097237860162,6.441026322155652e-06,3.6882320025994354e-06,2.7527943195562164e-06,0.0273348519362144,0.0273348519362144,0.091174325309989,63.46788502404813,58.815740070197734,55.92426348070712,0.02195480000000003,0.021950700000000014,0.021938000000000003,0.02193401999999998,0.02191899500000002,0.021957,6.160944,0.021958,8.0159,0.021959,0.2335691,0.021961,2.4253666,0.021962,0.2009,0.021956,0.60657979,0.021951,0.0495574,0.021943,0.042,0.021941,1.1273,0.021939,2.7408
