symbol,datestart,dateend,start,end,opening,closing,highest,lowest,volume,pvolume,svolume,amount,pamount,samount,nmatches,BBAND20UP,BBAND20DOWN,EMA20,EMA50,EMA100,MACD,MACDSIGNAL,MACDHISTOG,ROCP5,ROCP10,ROCP20,RSI6,RSI12,RSI24,SMA5,SMA10,SMA20,SMA50,SMA200,ASKS1P,ASKS1S,ASKS2P,ASKS2S,ASKS3P,ASKS3S,ASKS4P,ASKS4S,ASKS5P,ASKS5S,BIDS1P,BIDS1S,BIDS2P,BIDS2S,BIDS3P,BIDS3S,BIDS4P,BIDS4S,BIDS5P,BIDS5S
NEO-BTC,2019-08-27T14:32:59,2019-08-27T14:33:57,1566916379,1566916437,0.0009395,0.0009392,0.0009395,0.0009392,25.038452,12.684623,12.353829,0.0235193482111,0.011915238898,0.0116041093131,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0009395,0.776768,0.00094,9.024214,0.0009409,10.482268,0.0009411,10.530265,0.0009414,5.939999,0.000939,0.002803,0.0009383,0.070716,0.0009381,0.071799,0.0009379,0.025452,0.0009376,10.665077
NEO-BTC,2019-08-27T14:33:57,2019-08-27T14:35:06,1566916437,1566916506,0.0009392,0.0009393,0.0009393,0.0009392,26.771928,8.194407,18.577521,0.025144455922,0.0076963764236,0.0174480794984,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.0009395,0.745978,0.000941,9.024214,0.0009418,36.420178,0.0009419,10.482268,0.0009421,10.530265,0.0009391,0.060464,0.000939,0.002803,0.0009386,10.653737,0.0009383,1.70451,0.0009367,98.856
NEO-BTC,2019-08-27T14:35:06,2019-08-27T14:36:13,1566916506,1566916573,0.0009393,0.0009395,0.0009395,0.0009392,26.464306,8.361542,18.102764,0.0248570490527,0.0078538693627,0.01700317969,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.00094,9.024214,0.0009414,16.422267,0.0009421,100,0.0009425,12,0.0009439,36.420178,0.000939,0.002803,0.0009386,0.066129,0.0009383,0.070716,0.0009382,98.856,0.0009376,10.665077
NEO-BTC,2019-08-27T14:36:13,2019-08-27T14:37:25,1566916573,1566916645,0.000939,0.0009393,0.0009393,0.0009382,24.893389,6.609638,18.283751,0.0233798242115,0.0062076259966,0.0171721982149,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0.00094,9.024214,0.0009409,10.547736,0.000941,36.420178,0.0009411,10.530265,0.0009414,5.939999,0.0009386,1.471094,0.0009383,98.856,0.0009379,0.025452,0.0009376,223.975656,0.0009373,1.645138
NEO-BTC,2019-08-27T14:37:25,2019-08-27T14:38:32,1566916645,1566916712,0.0009393,0.0009398,0.0009398,0.0009393,28.074681,12.210381,15.8643,0.0263777222621,0.0114721380615,0.0149055842006,50,-1,-1,-1,-1,-1,-1,-1,-1,0.06388415672913274,-1,-1,0,0,0,0.0009394200000000001,0,0,0,0,0.000941,9.02173,0.0009417,36.420178,0.0009419,10.547736,0.0009421,10.530265,0.0009424,5.939999,0.0009386,223.737051,0.0009383,1.633794,0.0009367,98.856,0.0009366,20.752632,0.000935,990.526
NEO-BTC,2019-08-27T14:38:32,2019-08-27T14:39:15,1566916712,1566916755,0.0009398,0.0009398,0.0009398,0.0009398,21.447034,7.697712,13.749322,0.0201559225532,0.0072343097376,0.0129216128156,50,-1,-1,-1,-1,-1,-1,-1,-1,0.05323112956456488,-1,-1,0,0,0,0.00093954,0,0,0,0,0.000941,9.02173,0.0009417,36.420178,0.0009419,10.547736,0.0009421,10.530265,0.0009424,5.939999,0.0009386,10.653737,0.0009383,1.636278,0.0009368,7.369058,0.0009367,98.856,0.0009366,20.752632
NEO-BTC,2019-08-27T14:39:15,2019-08-27T14:40:25,1566916755,1566916825,0.0009398,0.0009398,0.0009398,0.0009398,26.968689,9.999991,16.968698,0.0253451739222,0.0093979915418,0.0159471823804,50,-1,-1,-1,-1,-1,-1,-1,-1,0.0319318786588561,-1,-1,80,0,0,0.00093964,0,0,0,0,0.000941,9.02173,0.0009416,0.62554,0.0009417,36.420178,0.0009419,10.547736,0.0009421,10.530265,0.0009386,223.737051,0.0009383,1.636278,0.0009369,52.502251,0.0009368,7.369058,0.0009367,98.856
NEO-BTC,2019-08-27T14:40:25,2019-08-27T14:41:19,1566916825,1566916879,0.0009398,0.0009398,0.0009398,0.0009398,24.528124,11.405715,13.122409,0.0230515309352,0.010719090957,0.0123324399782,50,-1,-1,-1,-1,-1,-1,-1,-1,0.05323112956456488,-1,-1,80,0,0,0.0009397000000000001,0,0,0,0,0.000941,9.02173,0.0009416,0.62554,0.0009417,36.420178,0.0009419,10.547736,0.0009421,10.530265,0.0009386,223.737051,0.0009383,1.636278,0.0009372,52.485445,0.0009371,5.708074,0.000937,5.719611
NEO-BTC,2019-08-27T14:41:19,2019-08-27T14:42:06,1566916879,1566916926,0.0009398,0.0009398,0.0009398,0.0009398,27.125879,13.871119,13.25476,0.0254929010842,0.0130360776362,0.012456823448,50,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,80,0,0,0.0009398000000000002,0,0,0,0,0.000941,9.02173,0.0009416,0.62554,0.0009418,0.625683,0.0009419,10.547736,0.0009421,10.530265,0.0009386,10.653737,0.0009383,1.636278,0.0009372,52.485445,0.0009367,98.856,0.0009366,20.752632
NEO-BTC,2019-08-27T14:42:06,2019-08-27T14:42:49,1566916926,1566916969,0.0009398,0.0009396,0.0009398,0.0009396,26.362713,12.320136,14.042577,0.0247724085711,0.0115771872414,0.0131952213297,50,-1,-1,-1,-1,-1,-1,-1,-1,-0.021281123643328886,0.04258943781942182,-1,59.45303210463733,0,0,0.0009397600000000001,0.00093959,0,0,0,0.0009406,0.635339,0.0009407,0.625014,0.000941,9.02173,0.0009418,37.045861,0.0009419,10.547736,0.0009386,223.737051,0.0009383,1.636278,0.0009372,52.485445,0.0009367,98.856,0.0009366,20.752632
NEO-BTC,2019-08-27T14:42:49,2019-08-27T14:43:34,1566916969,1566917014,0.0009396,0.0009398,0.0009398,0.0009396,23.125549,12.927195,10.198354,0.021729366631,0.0121468129408,0.0095825536902,50,-1,-1,-1,-1,-1,-1,-1,-1,0,0.05323112956456488,-1,69.00563533902927,0,0,0.0009397600000000001,0.00093965,0,0,0,0.000941,9.02173,0.0009418,36.420178,0.0009419,10.547736,0.0009421,10.530265,0.0009424,161.242389,0.0009386,223.737051,0.0009383,1.636278,0.0009374,52.474247,0.0009367,98.856,0.0009366,20.752632
NEO-BTC,2019-08-27T14:43:34,2019-08-27T14:44:28,1566917014,1566917068,0.0009398,0.0009398,0.0009398,0.0009396,23.575664,7.546373,16.029291,0.0221569448996,0.0070931223364,0.0150638225632,50,-1,-1,-1,-1,-1,-1,-1,-1,0,0.0319318786588561,-1,69.00563533902927,0,0,0.0009397600000000001,0.0009396999999999999,0,0,0,0.000941,7.983398,0.0009418,36.420178,0.0009419,10.547736,0.0009421,10.530265,0.0009424,61.242389,0.0009386,223.737051,0.0009383,2.67461,0.0009375,5.704081,0.0009374,52.474247,0.0009367,98.856
NEO-BTC,2019-08-27T14:44:28,2019-08-27T14:45:12,1566917068,1566917112,0.0009398,0.0009401,0.0009401,0.0009398,34.52520837,18.20371837,16.32149,0.032463578489766,0.017120833586966,0.0153427449028,50,-1,-1,-1,-1,-1,-1,-1,-1,0.03192168546499909,0.08516980730331304,-1,79.45872227228824,76.47058823529487,0,0.0009398200000000001,0.0009397599999999999,0,0,0,0.0009416,0.655681,0.0009417,0.625183,0.0009418,35.94751663,0.0009419,10.547736,0.0009424,61.242389,0.0009386,10.653737,0.0009383,13.332618,0.0009375,5.704081,0.0009374,52.474247,0.0009367,98.856
NEO-BTC,2019-08-27T14:45:12,2019-08-27T14:46:02,1566917112,1566917162,0.0009401,0.0009399,0.0009401,0.0009399,26.066418,9.393027,16.673391,0.0245015414592,0.0088293101021,0.0156722313571,50,-1,-1,-1,-1,-1,-1,-1,-1,0.03192848020434882,0.01064056182167021,-1,62.57547547175434,67.77251184834215,0,0.00093984,0.0009398199999999998,0,0,0,0.0009413,36.582856,0.0009417,0.625183,0.0009419,10.547736,0.0009421,10.530265,0.0009424,35.444616,0.0009386,10.653737,0.0009383,10.658008,0.0009374,52.474247,0.0009367,98.856,0.0009366,20.752632
NEO-BTC,2019-08-27T14:46:02,2019-08-27T14:46:56,1566917162,1566917216,0.0009399,0.0009404,0.0009404,0.0009399,25.245198,8.398011,16.847187,0.0237391551672,0.0078972928794,0.0158418622878,50,-1,-1,-1,-1,-1,-1,-1,-1,0.06384337092998665,0.06384337092998665,-1,77.14441597764572,75.40282801709954,0,0.0009400000000000001,0.0009398799999999999,0,0,0,0.0009413,0.635339,0.0009417,0.625183,0.0009426,35.947517,0.0009429,10.547736,0.0009431,10.530265,0.0009396,10.642421,0.0009393,10.646688,0.0009374,52.474247,0.0009367,98.856,0.0009366,20.752632
