,start,opening,closing,highest,lowest,amount,volume,MACD,MACDSIGNAL,MACDHISTOG,MACDHISTOG(t-1),BBAND20UP,BBAND20DOWN,EMA20,EMA50,EMA100,ROCP5,ROCP10,ROCP20,RSI6,RSI12,RSI24,SMA5,SMA10,SMA20,SMA50,SMA200
0,1505588040,0.0686,0.0686,0.0686,0.0686,0.000686,0.01,,,,,,,,,,,,,,,,,,,,
1,1505742300,0.0686,0.0686,0.0686,0.0686,0.00424575,0.06189139,,,,,,,,,,,,,,,,,,,,
2,1505843820,0.0686,0.0686,0.0686,0.0686,0.00074008,0.01078833,,,,,,,,,,,,,,,,,,,,
3,1505861820,0.0686,0.0686,0.0686,0.0686,0.06292817,0.91732028,,,,,,,,,,,,,,,,,,,,
4,1505867820,0.000685,0.000685,0.000685,0.000685,0.00093573,1.36602919,,,,,,,,,,,,,,,,0.055016999999999996,,,,
5,1506014640,0.00968,0.00968,0.00968,0.00968,0.00277816,0.287,,,,,,,,,,-0.8588921282798834,,,,,,0.043232999999999994,,,,
6,1506091200,0.07849,0.07849,0.07849,0.07849,0.0015698,0.02,,,,,,,,,,0.1441690962099127,,,53.3934943727697,,,0.045210999999999994,,,,
7,1506382920,0.07846,0.07846,0.07846,0.07846,0.019531200000000002,0.24893200000000001,,,,,,,,,,0.1437317784256561,,,53.380306814127735,,,0.047182999999999996,,,,
8,1506384300,0.07846,0.07846,0.07846,0.07846,0.00444476,0.05665,,,,,,,,,,0.1437317784256561,,,53.38030681412772,,,0.049155,,,,
9,1506480360,0.0732,0.0732,0.0732,0.0732,0.366,5.0,,,,,,,,,,105.86131386861314,,,50.24693035525526,,,0.063658,0.0593375,,,
10,1506487860,0.0713,0.0713,0.0713,0.0713,0.07199161,1.0097,,,,,,,,,,6.365702479338844,0.0393586005830905,,49.000183392499245,,,0.075982,0.0596075,,,
11,1506489600,0.07085263,0.07085263,0.07085263,0.07085263,0.05824086,0.8220000000000001,,,,,,,,,,-0.09730373295961274,0.03283717201166189,,48.65904791058711,,,0.074454526,0.059832763,,,
12,1506491760,0.0711,0.0713,0.0713,0.0711,0.02963167,0.4159,,,,,,,,,,-0.0912566913076727,0.0393586005830905,,49.084412364084486,50.87773627782863,,0.073022526,0.060102763000000003,,,
13,1506493260,0.07085263,0.07085263,0.07085263,0.07085263,0.02125579,0.3,,,,,,,,,,-0.09695857761916903,0.03283717201166189,,48.601213796750706,50.71680606182609,,0.07150105200000001,0.060328026,,,
14,1506494100,0.0713,0.0713,0.0713,0.0713,0.01426,0.2,,,,,,,,,,-0.025956284153005448,103.08759124087591,,49.201303064993716,50.88627933253943,,0.071121052,0.067389526,,,
15,1506495840,0.0713,0.0713,0.0713,0.0713,0.10583772,1.4844,,,,,,,,,,0.0,6.365702479338844,,49.201303064993716,50.88627933253942,,0.071121052,0.073551526,,,
16,1506498240,0.0732795,0.0732795,0.0732795,0.0732795,0.02198385,0.3,,,,,,,,,,0.03425236296803658,-0.06638425277105373,,52.71856556216251,51.75980800215021,,0.07160642600000001,0.07303047599999998,,,
17,1506498660,0.0732795,0.0709,0.0732795,0.0709,0.03086762,0.4253,,,,,,,,,,-0.005610098176718059,-0.09635483048687225,,47.931346633217245,50.58010464613771,,0.07152642600000002,0.07227447599999999,,,
18,1506499140,0.0732796,0.07409600000000001,0.07409600000000001,0.0732796,0.06017037,0.8188493,,,,,,,,,,0.045776282404760546,-0.05562069844506746,,54.57913803504212,52.17717841567977,,0.07217510000000002,0.071838076,,,
19,1506499380,0.07448099999999999,0.07448099999999999,0.07448099999999999,0.07448099999999999,0.07517949,1.00937806,,,,,0.10652941210248058,0.024774263897519397,0.06565183799999999,,,0.04461430575035048,0.01749999999999987,,55.402231905330524,52.379415315202884,,0.07281130000000002,0.07196617599999999,0.06565183799999999,,
20,1506516120,0.074502,0.076,0.076,0.074502,0.11232507,1.489501,,,,,0.1071327492526564,0.02491092674734361,0.06663737723809524,,,0.06591865357643753,0.06591865357643753,0.10787172011661814,58.926238878735084,53.23069394966097,,0.07375130000000002,0.07243617599999999,0.066021838,,
21,1506521220,0.0744,0.0744,0.0744,0.0744,0.0744,1.0,,,,,0.10757295722698884,0.025050718773011148,0.06737667464399093,,,0.015290770269993608,0.05006687825137887,0.08454810495626822,53.57528083959723,52.15927499328021,,0.07397540000000002,0.07279091299999998,0.066311838,,
22,1506522540,0.072788,0.072788,0.072788,0.072788,0.0127379,0.175,,,,,0.1078690984550004,0.025173377544999626,0.06789203896361085,,,0.026629055007052194,0.020869565217391348,0.06104956268221591,48.27530213337211,51.03036456533642,,0.07435300000000003,0.07293971299999999,0.06652123800000001,,
23,1506522780,0.0744,0.076,0.076,0.0744,0.03370552,0.44842,,,,,0.10843883840876234,0.025343637591237672,0.06866422572898125,,,0.025696393867415093,0.07264896165463439,0.10787172011661814,58.16975569767207,53.23069504340473,,0.07473380000000003,0.07345444999999998,0.066891238,,
